tweet_id,retweet_count,favorite_count
892420643555336193,8460,38450
892177421306343426,6230,32946
891815181378084864,4130,24821
891689557279858688,8588,41802
891327558926688256,9316,39971
891087950875897856,3087,20059
890971913173991426,2053,11741
890729181411237888,18771,64923
890609185150312448,4239,27576
890240255349198849,7349,31645
890006608113172480,7284,30406
889880896479866881,4941,27551
889665388333682689,9990,47720
889638837579907072,4516,26930
889531135344209921,2224,14969
889278841981685760,5384,25084
888917238123831296,4473,28849
888804989199671297,4297,25368
888554962724278272,3556,19715
888078434458587136,3474,21573
887705289381826560,5354,29918
887517139158093824,11598,45860
887473957103951883,18077,68544
887343217045368832,10332,33401
887101392804085760,5923,30284
886983233522544640,7728,34876
886736880519319552,3272,11958
886680336477933568,4437,22241
886366144734445568,3180,21014
886258384151887873,6233,27751
885984800019947520,6768,32421
885528943205470208,6388,35675
885518971528720385,3737,20264
885167619883638784,4355,21758
884925521741709313,18320,76889
884876753390489601,5752,27713
884562892145688576,4840,24104
884441805382717440,5616,26764
884247878851493888,20333,72445
884162670584377345,2966,20209
883838122936631299,3425,21725
883482846933004288,9910,45565
883360690899218434,3655,22387
883117836046086144,6641,36899
882992080364220416,3898,23769
882762694511734784,4893,28070
882627270321602560,6059,27684
882268110199369728,11533,44611
882045870035918850,4949,29117
881906580714921986,3387,24104
881666595344535552,10607,50146
881536004380872706,15880,49054
881268444196462592,5134,22901
880935762899988482,2767,16875
880872448815771648,3797,21121
880465832366813184,6260,28309
880221127280381952,4206,26837
880095782870896641,4347,27407
879862464715927552,3482,22157
879492040517615616,3173,23231
879415818425184262,44000,105058
879376492567855104,3107,16635
879050749262655488,4702,22405
879008229531029506,2678,18827
878776093423087618,4117,19265
878604707211726852,7183,30046
878281511006478336,1285,7689
878057613040115712,6818,41720
877736472329191424,19057,79285
877556246731214848,3807,22562
877316821321428993,5163,27162
877201837425926144,5575,26909
876838120628539392,3345,20526
876537666061221889,4610,23300
876484053909872640,2392,18625
876120275196170240,4683,27704
875747767867523072,4284,25021
875144289856114688,4921,21774
875097192612077568,6030,27247
875021211251597312,4712,25292
874680097055178752,4648,27653
874296783580663808,4119,25903
874057562936811520,3958,22510
874012996292530176,10457,34435
873580283840344065,3956,24104
873213775632977920,1592,7207
872967104147763200,5419,27256
872820683541237760,3705,14657
872620804844003328,3715,20693
872486979161796608,9043,40527
872261713294495745,6362,34067
872122724285648897,8161,34334
871879754684805121,11268,37928
871762521631449091,3499,20206
871515927908634625,3477,20163
871102520638267392,5542,20894
871032628920680449,3843,22615
870804317367881728,6255,33589
870656317836468226,2668,12403
870374049280663552,26466,82653
870308999962521604,4197,21821
870063196459192321,8451,36717
869772420881756160,10141,42440
869702957897576449,6413,28273
869596645499047938,3170,15991
869227993411051520,3837,20475
868880397819494401,14718,65845
868622495443632128,5867,27313
868552278524837888,2131,10183
867900495410671616,4238,24293
867774946302451713,7465,34185
867421006826221569,2564,16213
867051520902168576,8017,32445
866720684873056260,4908,20222
866686824827068416,3551,19464
866450705531457537,35971,123230
866334964761202691,14760,53043
865718153858494464,5735,25824
865359393868664832,5110,26726
865006731092295680,7859,28286
864873206498414592,8928,32623
864279568663928832,3112,14773
864197398364647424,9165,30492
863907417377173506,4237,20852
863553081350529029,4277,15479
863432100342583297,5395,24106
863062471531167744,2527,8649
862831371563274240,5222,19436
862722525377298433,3627,17296
862457590147678208,5098,20814
862096992088072192,23971,75697
861383897657036800,11008,36604
861288531465048066,4287,17454
861005113778896900,3919,16973
860563773140209665,2226,7630
860524505164394496,5434,24006
860276583193509888,3587,18588
860184849394610176,6017,16963
859851578198683649,3625,15667
859607811541651456,1622,18923
859196978902773760,31281,91689
859074603037188101,14069,34539
858843525470990336,3595,15829
858471635011153920,5021,21931
858107933456039936,3023,16055
857989990357356544,2682,16452
857746408056729600,11031,34991
857393404942143489,1707,6047
857263160327368704,4702,20446
857029823797047296,4166,19354
856543823941562368,3000,16643
856282028240666624,6599,28385
855857698524602368,2210,12129
855851453814013952,18508,46549
855851453814013952,18508,46549
855818117272018944,5688,27265
855459453768019968,8613,30742
854732716440526848,6412,23500
854482394044301312,7223,30182
854365224396361728,4929,19469
854120357044912130,7898,32955
854010172552949760,3314,16697
854010172552949760,3314,16697
853760880890318849,6109,29520
853639147608842240,10695,36042
853299958564483072,3758,16045
852912242202992640,1946,9367
852672615818899456,2275,15443
852553447878664193,3724,16953
852311364735569921,10480,34330
852226086759018497,7210,20752
852189679701164033,1675,11885
851591660324737024,3682,16816
851464819735769094,7516,25218
851224888060895234,6083,21494
850753642995093505,9886,32282
850380195714523136,2783,13586
850145622816686080,4074,16988
850019790995546112,5217,21295
849776966551130114,8106,31736
849412302885593088,3349,16543
849336543269576704,2015,11918
849051919805034497,9102,44332
848690551926992896,4608,26321
848324959059550208,4919,25867
848212111729840128,3299,17070
847962785489326080,5463,24574
847842811428974592,1438,5731
847606175596138505,3626,19626
847251039262605312,4599,21399
847157206088847362,6287,20918
847116187444137987,3415,22435
846874817362120707,4202,21047
846514051647705089,12473,46829
846505985330044928,3325,14827
846153765933735936,9742,33249
846139713627017216,10589,32361
846042936437604353,3103,16773
845812042753855489,9410,30758
845677943972139009,5138,26326
845397057150107648,1954,8004
845306882940190720,5806,24485
844973813909606400,3457,15882
844704788403113984,11137,40702
844580511645339650,3387,17316
844223788422217728,2367,14327
843981021012017153,3146,15887
843856843873095681,4988,22513
843604394117681152,2965,17762
843235543001513987,6544,22622
842846295480000512,3872,16008
842765311967449089,1373,7104
842535590457499648,3781,19040
842163532590374912,6264,25780
842115215311396866,3272,14761
841680585030541313,8368,27006
841439858740625411,3971,13324
841320156043304961,5866,20825
841314665196081154,5082,16702
841077006473256960,5739,24171
840696689258311684,1067,12977
840632337062862849,1901,9467
840370681858686976,4934,17390
840268004936019968,6200,20360
839990271299457024,2492,14179
839549326359670784,8433,29090
839239871831150596,7117,28753
838952994649550848,4317,20740
838921590096166913,2252,11810
838561493054533637,1437,11541
838476387338051585,5233,23917
838083903487373313,3423,18664
837820167694528512,8559,36205
837482249356513284,481,4060
837471256429613056,2503,13547
837366284874571778,5757,22375
837110210464448512,2606,16965
836989968035819520,2495,13490
836753516572119041,5020,20388
836677758902222849,2421,13364
836380477523124226,3212,15604
836260088725786625,4672,22536
836001077879255040,4684,20268
835574547218894849,3953,18877
835297930240217089,3262,17396
835264098648616962,1856,8234
835172783151792128,6263,27717
835152434251116546,3297,23845
834931633769889797,1800,11502
834786237630337024,5970,22427
834574053763584002,2765,14536
834458053273591808,1825,10211
834209720923721728,5235,21884
834167344700198914,3961,16719
834089966724603904,2325,10670
834086379323871233,2416,13870
833863086058651648,2627,14244
833826103416520705,3758,16297
833722901757046785,3498,21963
833479644947025920,2259,15786
833124694597443584,5290,21466
832998151111966721,2427,14147
832757312314028032,3964,17882
832682457690300417,3206,12640
832645525019123713,567,3100
832636094638288896,3064,16871
832397543355072512,2433,12700
832369877331693569,3481,18220
832273440279240704,2553,12026
832032802820481025,5102,18993
831939777352105988,6718,25540
831911600680497154,7144,29456
831670449226514432,1991,11115
831650051525054464,2135,7633
831552930092285952,2513,9587
831322785565769729,1669,9763
831315979191906304,1223,6939
831309418084069378,2674,12462
831262627380748289,2250,12670
830956169170665475,1644,8496
830583320585068544,18488,71316
830097400375152640,3306,10477
829861396166877184,2149,13045
829501995190984704,11649,33833
829449946868879360,2224,11153
829374341691346946,10231,36932
829141528400556032,8141,26167
829011960981237760,17813,56528
828770345708580865,6465,27274
828708714936930305,12334,39067
828650029636317184,1479,10146
828409743546925057,1265,6704
828408677031882754,1409,8150
828381636999917570,2438,13478
828376505180889089,1168,7887
828372645993398273,3226,13374
828361771580813312,186,2341
828046555563323392,3150,12564
828011680017821696,2360,11061
827933404142436356,5741,21514
827653905312006145,3306,16476
827600520311402496,1042,7906
827324948884643840,3369,16972
827199976799354881,2465,11307
826958653328592898,5512,23091
826848821049180160,11279,39031
826598365270007810,2584,10767
826476773533745153,4620,19691
826240494070030336,2850,14189
826204788643753985,1028,5214
826115272272650244,3451,16763
825876512159186944,2054,11192
825829644528148480,2742,13622
825535076884762624,18961,55708
825147591692263424,5039,19567
825026590719483904,1421,6796
824775126675836928,3889,16013
824663926340194305,1918,10785
824325613288833024,11452,12615
824297048279236611,4264,16101
824025158776213504,651,5111
823939628516474880,2993,11415
823699002998870016,2663,13474
823581115634085888,2924,13963
823322678127919110,4438,16896
822975315408461824,3795,18540
822872901745569793,48487,141969
822859134160621569,2517,14156
822610361945911296,3270,15843
822489057087389700,7079,19467
822462944365645825,16247,30607
822244816520155136,10887,37614
821886076407029760,2588,12187
821765923262631936,1843,9041
821522889702862852,1954,8605
821407182352777218,4818,12641
821149554670182400,2223,9372
821107785811234820,2353,10313
821044531881721856,2533,13599
820749716845686786,10988,33889
820690176645140481,3562,13109
820314633777061888,627,3584
820078625395449857,6946,21269
819952236453363712,1307,5716
819924195358416896,5355,13826
819711362133872643,3475,14468
819588359383371776,2181,10291
819347104292290561,1334,7762
819238181065359361,448,2465
819227688460238848,7398,24841
819006400881917954,20933,48531
819004803107983360,40564,92892
818627210458333184,8251,23876
818614493328580609,2861,10611
818536468981415936,2747,11747
818259473185828864,2536,11862
818145370475810820,2884,13224
817908911860748288,873,5206
817827839487737858,30067,55845
817777686764523521,2957,11508
817777686764523521,2957,11508
817536400337801217,3363,12703
817423860136083457,16630,36873
817415592588222464,1072,6051
817171292965273600,2232,9397
817120970343411712,2907,13092
817056546584727552,1831,9223
816816676327063552,2258,10757
816697700272001025,2448,10562
816450570814898180,9008,32938
816336735214911488,2171,9263
816091915477250048,2388,9618
815990720817401858,1162,5385
815966073409433600,9445,24203
815736392542261248,2515,10604
815639385530101762,1833,8860
815390420867969024,4226,11151
814986499976527872,1435,8231
814638523311648768,3011,12170
814530161257443328,2060,9345
814153002265309185,9660,31006
813910438903693312,2095,10008
813812741911748608,15584,39194
813800681631023104,1958,9007
813217897535406080,8105,20169
813202720496779264,2001,9898
813187593374461952,4856,21396
813172488309972993,2127,10073
813157409116065792,2462,8362
813142292504645637,2625,9073
813127251579564032,3480,12795
813112105746448384,3067,11162
813096984823349248,4009,11354
813081950185472002,3078,10651
813066809284972545,2160,8584
813051746834595840,8148,22605
812781120811126785,2124,8173
812709060537683968,1592,7141
812503143955202048,1363,6555
812466873996607488,2140,8626
812372279581671427,4087,14788
811985624773361665,1562,7838
811744202451197953,1790,8152
811627233043480576,3489,13835
811386762094317568,7119,22571
810984652412424192,1591,5756
810896069567610880,1990,9774
810657578271330305,2939,11836
810284430598270976,12711,38307
810254108431155201,3732,15858
809920764300447744,4340,16731
809448704142938112,1636,7484
809220051211603969,6268,21537
809084759137812480,3899,14272
808838249661788160,3380,10912
808733504066486276,2410,8538
808501579447930884,2894,12198
808344865868283904,23103,45945
808106460588765185,2434,9416
808106460588765185,2434,9416
808001312164028416,3934,13589
807621403335917568,4105,15758
807106840509214720,60353,121875
807010152071229440,4252,14071
806629075125202948,38901,81299
806576416489959424,2139,5237
806542213899489280,2637,11038
806219024703037440,1338,6931
805932879469572096,2125,8940
805826884734976000,2040,7120
805520635690676224,1842,6196
805487436403003392,2820,9476
805207613751304193,1897,8419
804738756058218496,4298,14866
804475857670639616,2237,6655
804026241225523202,18065,48284
803773340896923648,3090,10868
803638050916102144,4622,11901
803380650405482500,2072,8380
803276597545603072,2757,10844
802952499103731712,2238,9763
802600418706604034,1638,7699
802572683846291456,2797,9677
802323869084381190,6519,17595
802239329049477120,2904,9818
801958328846974976,1906,8350
801538201127157760,2296,8874
801285448605831168,926,6561
801167903437357056,6647,26551
801115127852503040,2327,8750
801115127852503040,2327,8750
800751577355128832,3096,11374
800513324630806528,3355,14224
800459316964663297,2402,10226
800388270626521089,3130,12069
800141422401830912,2854,16568
800018252395122689,14686,30740
799757965289017345,2411,9100
799422933579902976,2131,8700
799297110730567681,3088,10749
799063482566066176,2742,8769
798933969379225600,4997,14265
798925684722855936,1602,8046
798209839306514432,2844,11248
797971864723324932,3500,12631
797545162159308800,5419,15716
797236660651966464,7398,21691
796865951799083009,2120,8312
796759840936919040,3412,12874
796484825502875648,1960,8211
796387464403357696,4652,11932
796149749086875649,15966,35069
796125600683540480,1988,5351
796116448414461957,2702,9846
796080075804475393,2588,9141
796031486298386433,4116,11704
795464331001561088,26569,54021
795400264262053889,3196,10946
795076730285391872,6049,17592
794926597468000259,2583,11137
794332329137291264,2947,10368
794205286408003585,3689,9970
793962221541933056,5460,18247
793845145112371200,2095,9969
793601777308463104,1826,8644
793500921481273345,2660,11594
793286476301799424,10277,26705
793271401113350145,2636,9370
793256262322548741,9296,21661
793241302385262592,3663,11404
793226087023144960,3192,10663
793210959003287553,3143,9679
793195938047070209,6274,16552
793180763617361921,2221,7503
793165685325201412,3101,10188
793150605191548928,1905,6689
793135492858580992,2780,7009
793120401413079041,4357,13757
792913359805018113,4486,15556
792883833364439040,4756,12264
792773781206999040,1876,7962
792394556390137856,4776,14613
792050063153438720,2005,7786
791774931465953280,24751,48904
791672322847637504,3490,12733
791406955684368384,4590,14222
791312159183634433,2837,9517
790987426131050500,2386,10723
790946055508652032,5232,17987
790698755171364864,2126,8880
790581949425475584,7993,22415
790337589677002753,2081,8475
790277117346975746,3575,13589
789986466051088384,2589,10016
789903600034189313,4600,11262
789628658055020548,1984,8150
789599242079838210,2161,7341
789530877013393408,3763,12746
789314372632018944,2564,9324
789268448748703744,2879,9871
789137962068021249,3110,10517
788908386943430656,13812,29661
788765914992902144,11482,29707
788412144018661376,5904,16871
788178268662984705,2364,7836
788150585577050112,1448,6657
788039637453406209,1480,6657
787810552592695296,3397,9398
787717603741622272,3097,11052
